Account No,Organisation,City,Country,Region,Access,C40,Reporting Year,Risks to city's water supply,Adaptation action,Action description,City Location
1093,City of Atlanta,Atlanta,United States of America,North America,public,,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,"The city is building a new reservoir, fixing the sewage  infrastructure , and increasing the green infrastructure","(33.749, -84.388)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Conservation incentives,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Water use restrictions,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Water metering,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Municipal water efficiency retrofits,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Use of non-potable water outside,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Watershed preservation,NA,"(30.2672, -97.7431)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),NA,"(30.2672, -97.7431)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Increased water stress or scarcity,Water use restrictions,"Barcelona has the action protocol for risk of drought in the city that aims to prevent and anticipate possible drought situations, establishing preventive measures and defining a model of action for municipal services when there is a drought situation in the city. Specifically, various actions are established according to the scenario (pre-alert, alert, exceptional, emergency I, emergency II, emergency III and recovery), consisting of actions to raise awareness and communicate with the public and concrete actions to save water in services or activities that generate more consumption.","(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Declining water quality,Conservation awareness and education,NA,"(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,NA,"(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Increased water demand,Diversifying water supply (including new sources),"Barcelona has the Alternative Water Resources Plan that aims to move towards sustainable and rational water management focusing on water saving, optimization and substitution by alternative water resources. The plan identifies existing water resources and their potential uses according to their characteristics (chemical and biological), dimensioned potential demand and provides city infrastructure necessary for their use. The plan provides a global map of alternative resources to drinking water in Barcelona and gives visibility to the water supply across the city. In addition, it ensures synergies between the different municipal and private operators in the city for improvement in supply.","(41.3823, 2.1775)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water demand,Conservation awareness and education,Encouraging London's water companies to take innovative steps to promote water efficiency such as providing domestic advice services in complement water efficient appliances. Includes promoting increased meter penetration in domestics buildings,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water demand,Efficiency regulations or standards,Standard of water efficiency in new developments.,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water demand,Municipal water efficiency retrofits,retrofitting water efficient fittings and fixtures as part of wider energy retrofit programmes,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water demand,Use of non-potable water outside,"promoting integrated water management, using stored rainwater for reuse for non-potable supplies, promoted through planning policies and a range of retrofit approaches","(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"The Mayor of London and water regulators are asking London's privatised water companies to plan for a greater level of resilience to drought and long terms supply demand deficit. this includes asking water companies to identify sustainable new sources of water including a reservoir, new groundwater sources and effluent reuse technologies.","(51.5048, -0.07868)"
3429,City of Stockholm,Stockholm,Sweden,Europe,public,C40,2018,Declining water quality,Investment in existing water supply infrastructure,"More treatment at high concentrations of algae and particles.  Long-term plan for protecting water supply in Lake MÃ¤laren is to build barries in the Stockholm archipelago to prevent sea water intrusion.   Evaluation of different techniques to reduce brownificationSlussen, one of Stockholm's biggest locks is being rebuilt to prevent sea water intrusion and flooding from and to Lake MÃ¤laren.","(59.3293, 18.0686)"
3429,City of Stockholm,Stockholm,Sweden,Europe,public,C40,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,Rebuild of the Slussen lock system to prevent salt water intrusion,"(59.3293, 18.0686)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,With the drought has been an aggressive campaign by Southern Nevada Water Authority for homeowners and businesses to reduce their water consumption. Incentives are also provided to allow residents to convert their outdoor turf to drought tolerant landscaping.,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Declining water quality,Investment in existing water supply infrastructure,A new intake has been completed at Lake Mead to reach better quality water that meets Federal standards.,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,A new intake is being constructed at Lake Mead and water treatment operations are being modified to adapt to lower lake levels.,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),The Clark County Regional Flood Control District has been investing in additional channels and detention basins.,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Higher water prices,Conservation incentives,SNWA imposes an infrastructure charge to pay for costs of new water infrastructure.,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Regulatory,Diversifying water supply (including new sources),SNWA is studying and may construct a new pipeline for groundwater development in Eastern Nevada in the event Southern Nevada must cut its allocation.,"(36.1699, -115.14)"
