city,latitude,longitude,c40,country,risk0,risk1,risk2,risk3,risk4,risk5,risk6
Abasan Al-Kabira,31.3231,34.344,False,State of Palestine,Serious,,Serious,Serious,,,
Abington,40.1241,-75.1195,False,United States of America,Serious,,Less Serious,Less Serious,,,
Abuja,9.07647,7.39857,False,Nigeria,,,Serious,Serious,Serious,,
Addis Ababa,9.02887,38.7544,True,Ethiopia,,Serious,Serious,Serious,,,
Adelaide,-34.9285,138.601,False,Australia,,,Serious,Serious,Serious,,Serious
"Ajax, ON",43.8509,-79.0204,False,Canada,Extremely serious,,,Serious,,,
Alameda,37.4522,122.163,False,United States of America,,,Serious,,,,
Amman,31.9454,35.9284,True,Jordan,,Extremely serious,Extremely serious,,,,
Anchorage,61.2181,-149.9,False,United States of America,,,Serious,,,,
Angra dos Reis,-22.9983,-44.2442,False,Brazil,,Serious,Extremely serious,Less Serious,,,
Aparecida de GoiÃ¢nia,-16.6869,-49.2648,False,Brazil,,,Serious,,,,
Aracaju,-10.9472,-37.0731,False,Brazil,Serious,,Serious,,Serious,,
ArchipiÃ©lago de San AndrÃ©s,12.5794,-81.6976,False,Colombia,Extremely serious,Extremely serious,Extremely serious,,,,
Arlington,37.2265,-76.0026,False,United States of America,Less Serious,,Less Serious,,,,
Asheville,35.5951,-82.5515,False,United States of America,,Serious,Serious,Serious,,,
AsunciÃ³n,-25.2637,-57.5759,False,Paraguay,Serious,,Less Serious,Serious,,,
Atlanta,33.749,-84.388,False,United States of America,,,Serious,,Serious,,
Auckland,-36.8153,174.742,True,New Zealand,Serious,,Serious,Extremely serious,,,
Aurora,88.3201,41.7606,False,United States of America,Serious,Serious,Less Serious,,,,
Austin,30.2672,-97.7431,True,United States of America,,,Extremely serious,,,,
Bangkok,13.7712,100.556,True,Thailand,,,Less Serious,,,,
Barcelona,41.3823,2.1775,True,Spain,Serious,Serious,Extremely serious,Serious,,,
Barrancabermeja,7.06066,-73.8724,False,Colombia,Serious,,Extremely serious,,,,
Bayeux,-7.12505,-34.9268,False,Brazil,,,Serious,,,,
Belo Horizonte,-19.9167,-43.9345,False,Brazil,,,Serious,,,,
Benicia,38.0494,-122.159,False,United States of America,,,Extremely serious,,Serious,,
Bertioga,-23.8081,-46.0599,False,Brazil,Extremely serious,,,,,,Serious
Betim,-19.9673,-44.2012,False,Brazil,,,Serious,,,,
Blacksburg,37.2296,-80.4139,False,United States of America,,,,Serious,,,
Bloomington,39.1653,-86.5264,False,United States of America,Less Serious,Less Serious,,Less Serious,,,
Bologna,44.4938,11.3387,False,Italy,Serious,,Serious,,,,
Botucatu,-22.8852,-48.4441,False,Brazil,,,Serious,,,,
BouakÃ©,7.4137,-5.0149,False,CÃ´te d'Ivoire,Extremely serious,,,,,,
Boulder,40.0274,-105.252,False,United States of America,Serious,,Serious,,,,
Boynton Beach,26.4986,-80.216,False,United States of America,Serious,Serious,,Serious,,,
Breckenridge,39.4817,106.038,False,United States of America,,,Serious,,,,
Bridgewater,44.3786,-64.5188,False,Canada,Extremely serious,Extremely serious,,,,,
"Brisbane, CA",37.6808,-122.4,False,United States of America,,,Serious,Serious,,,
Brotas,-22.0,-48.0,False,Brazil,,Serious,Extremely serious,,,,
Broward,26.1901,80.3659,False,United States of America,Serious,,,,,,
Brumadinho,-20.1427,-44.1982,False,Brazil,Serious,Serious,Extremely serious,,,,
Bucaramanga,7.11034,-73.1227,False,Colombia,Extremely serious,,Extremely serious,,,,
"Buffalo, NY",42.8864,-78.8784,False,United States of America,Serious,,,Serious,,,Serious
Byron Shire,-28.6534,153.533,False,Australia,,Serious,,,,,
Caieiras,-23.3612,-46.7402,False,Brazil,,,Serious,Serious,Serious,,
Cajamar,-23.3646,-46.8725,False,Brazil,,Extremely serious,Extremely serious,Less Serious,,,
Calgary,51.0486,-114.071,False,Canada,,,Extremely serious,Serious,,,Serious
Cambridge,52.2077,0.16353,False,United Kingdom of Great Britain and Northern Ireland,,,Serious,,,,
Campina Grande,-7.2291,-35.8808,False,Brazil,,,Extremely serious,,,,
Campinas,-22.744,-46.9372,False,Brazil,Extremely serious,,Serious,Serious,Extremely serious,,
Canberra,-35.3075,149.124,False,Australia,,,Serious,,,,
Cape Town,-33.9253,18.4239,True,South Africa,,,Extremely serious,,,,
Cartagena,10.4218,-75.5501,False,Colombia,Serious,,Serious,,,,
Casablanca,33.5206,-7.56806,False,Morocco,Serious,,,,,,
Cascais,38.697,-9.42229,False,Portugal,Serious,,Serious,,,,
Castelo Branco,39.8239,-7.49189,False,Portugal,Serious,,Serious,Less Serious,,,
Changwon,35.1542,126.949,True,Republic of Korea,,,Serious,,,,
