Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,Timescale,Magnitude,Risk description,Current population,Population year,City Location
1093,City of Atlanta,Atlanta,United States of America,North America,public,,2018,Increased water stress or scarcity,Short-term,Serious,"The city depends on one river for water supply - the river has suffered from extreme droughts in previous years. Intensive rain fall has produced floods in the city affecting transportation, houses, and businesses",450182,2017,"(33.749, -84.388)"
1093,City of Atlanta,Atlanta,United States of America,North America,public,,2018,Higher water prices,Current,Serious,The water cost burden is felt across all ZIP codes and but most seriously affects low-income residents and communities where they are located.,450182,2017,"(33.749, -84.388)"
1184,City of Austin,Austin,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Medium-term,Extremely serious,NA,1265974,2017,"(30.2672, -97.7431)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Increased water stress or scarcity,Current,Extremely serious,"The downscaling of the climate projections at a local scale developed under the Resilience and Adaptation Plan show that the rainfall reduction can be of 14% per annum in 2100 (RCP 4.5) or 26% (RCP 8.5). Referring to the temperature, it can increase 1.7ÂºC in 2100 (RCP 4.5) or 3ÂºC (RCP 8.5). We expect heat waves.",1604555,2015,"(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Declining water quality,Medium-term,Serious,"A reduction in water resources availability  can also lead to a deterioration of its quality, for  a lower dilution of pollutants effect and / or higher salt intrusion in coastal aquifers duethe increase in sea level (European Environment Agency , 2007) , and this in turn can lead to adifficulties and costs to ensure greater quality urban supplies.The downscaling of the climate projections at a local scale developed under the Resilience and Adaptation Plan show that the rainfallâ€™s  intensity will be increased. It can cause dysfunctions in the drainage system and direct discharges to the sea and affect the sea wÃ ter quality.  In addition, the increase in sea level can cause dysfunctions in the overflows too.",1604555,2015,"(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Inadequate or ageing infrastructure,Current,Serious,"In terms of water supply, rivers floods could affect water catchment facilities. Inside the city, Barcelona could be affected by floods because of lack of drainage capacity in some critical points in lower zones of the city.The downscaling of the climate projections at a local scale developed under the Resilience and Adaptation Plan show that it is expected a Increased rainfall intensity and concentration of extreme events.",1604555,2015,"(41.3823, 2.1775)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,public,C40,2018,Increased water demand,Medium-term,Serious,"Various studies predict reduced surface resources for the rivers Ter and Llobregat, and reduced underground resources for Llobregat and BesÃ²s, which are the main sources of drinking water that Barcelona has.Specifically, a reduction of 12% in surface resources and a reduction of 9% in underground resources are forecast by 2050. On the other hand, increased demand on the part of different city uses is estimated to be around 4%. There will there be an additional resource need for drinking water in general for the Barcelona Metropolitan Area of 34 hm3/year and for Barcelona city this is estimated at 18hm3/year.It is worth noting that water production from desalination in 2050 is considered equal to current production (2012), although the plant has a capacity of up to 60 hm3/year. The reason is that in the context of climate change, in which Barcelona needs to increase its adaptability and resilience, the idea of covering the missing water with desalination (which could more than cover it) has been ruled out due to its high electricity consumption, which means increased CO2 emissions. To solve all the challenges of the water cycle posed by climate change, it is more adequate and sustainable to base strategies on alternative sources of water.",1604555,2015,"(41.3823, 2.1775)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water stress or scarcity,Short-term,Serious,Short term drought risk is significant. The impacts of a severe drought on London would be very disruptive and hugely expensive,8883800,2017,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,"In the medium to longer term, London is forecasting a supply demand deficit of nearly 800 million litres a day by 2100 if nothing is done to close the gap this is a combination of reducing availability of water due to climate change and increasing demand due to projected population growth",8883800,2017,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Increased water demand,Long-term,Serious,Projected population growth will account for a significant increase in demand event if per capita consumption rates decrease as planned.,8883800,2017,"(51.5048, -0.07868)"
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,C40,2018,Regulatory,Short-term,Less Serious,"In addition to reductions in resource availability due to expected climate change impacts, there are regulatory pressures to reduce water abstraction in some locations. This is driven by a need to reduce the environmental impact of unsustainable abstraction. Such reduction to supply are very carefully evidenced.",8883800,2017,"(51.5048, -0.07868)"
3429,City of Stockholm,Stockholm,Sweden,Europe,public,C40,2018,Declining water quality,Medium-term,Less Serious,Investment in existing water supply infrastructure.Investment in existing water supply infrastructure	More treatment at high concentrations of algae and particles.  Long-term plan for protecting water supply in Lake MÃ¤laren is to build barries in the Stockholm archipelago to prevent sea water intrusion.   Evaluation of different techniques to reduce brownification,935619,2016,"(59.3293, 18.0686)"
3429,City of Stockholm,Stockholm,Sweden,Europe,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,"Other: Sea Water Intrusion.Other: Reconstruction of Slussen	Slussen, one of Stockholm's biggest locks is being rebuilt to prevent sea water intrusion and flooding from and to Lake MÃ¤laren.",935619,2016,"(59.3293, 18.0686)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Increased water stress or scarcity,Current,Extremely serious,"Lake Mead, which is 90% of Southern Nevada's supply,  is currently less than 50% of capacity, and continues to decline. Southern Nevada Water Authority officials have also been studying and have water rights in Eastern Nevada and will develop a groundwater importation project (pipeline) in the event water levels continue to decline.",648224,2017,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Declining water quality,Medium-term,Serious,"As Lake Mead's level declines, there are concerns of declining levels of water quality due to increased salinity. A recently completed third intake project at the lowest part of the lake will mitigate water quality concerns. In addition, invasive species (quagga mussel) have led to declines in water quality.",648224,2017,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Medium-term,Less Serious,"Most of the Southern Nevada water system is relatively new; however, as the system ages, there is an issue of maintenance costs. A third intake has had to be constructed as well as a connection between treatment plants in the event water levels decline to the point water cannot be drawn from one of the two other intakes at higher lake elevations.",648224,2017,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Higher water prices,Medium-term,Less Serious,"With more intense and frequent rainfall comes the risk of flooding. Much of the regional flood control network that has developed since 1985 has mitigated flood risks, but more flood control is needed as development continues.",648224,2017,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Increased water demand,Current,Serious,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased.",648224,2017,"(36.1699, -115.14)"
10495,City of Las Vegas,Las Vegas,United States of America,North America,public,,2018,Regulatory,Current,Less Serious,"Water restrictions have led to more conservation; however, if Lake Mead continues to decline, a Federally mandated cut in Southern Nevada's water allocation may occur, and nearly did during the 2015-2016.",648224,2017,"(36.1699, -115.14)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,Increased water stress or scarcity,Long-term,Extremely serious,"Oslo is in a vulnerable position as it has only one main water source (Lake Maridalen) and one main water treatment plant (Oset). If VAV cannot deliver drinking water from this site, a large part of the city must be evacuated.",673469,2017,"(59.9139, 10.7522)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,Declining water quality,Long-term,Less Serious,Increased temperatures in winter gives colder raw-water which is more difficult to treat.,673469,2017,"(59.9139, 10.7522)"
14344,"City of Park City, UT",Park City,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,NA,NA,7873,2012,"(40.6461, -111.498)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Inadequate or ageing infrastructure,Medium-term,NA,Water Bureau has an extensive Asset Management program that is designed to effectively manage the risks associated with aging infrastructure.,639863,2016,"(45.52, -122.682)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,NA,Medium-term,NA,"Portland has a secondary, redundant, groundwater drinking water source, which means a complete back-up is system in place in the event that flooding or other natural disaster impacts the primary supply system.",639863,2016,"(45.52, -122.682)"
