

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Total population",4104,2017,36296.113,"X","","0"
"Afghanistan",4,"Rural population",4105,2017,26558.609,"X","","0"
"Afghanistan",4,"Urban population",4106,2017,8971.472,"X","","0"
"Afghanistan",4,"Flood occurrence (WRI)",4543,2017,3.7,"I","","0"
"Afghanistan",4,"Total population with access to safe drinking-water (JMP)",4114,2017,55.3,"I","","0"
"Afghanistan",4,"Rural population with access to safe drinking-water (JMP)",4115,2017,47.0,"I","","0"
"Afghanistan",4,"Urban population with access to safe drinking-water (JMP)",4116,2017,78.2,"I","","0"
"Albania",8,"Total population",4104,2017,2884.169,"X","","0"
"Albania",8,"Rural population",4105,2017,1190.155,"X","","0"
"Albania",8,"Urban population",4106,2017,1740.032,"X","","0"
"Albania",8,"% of area equipped for irrigation salinized",4445,2017,3.0224720799,"E","","0"
"Albania",8,"Flood occurrence (WRI)",4543,2017,2.7,"I","","0"
"Albania",8,"Total population with access to safe drinking-water (JMP)",4114,2017,95.1,"I","","0"
"Albania",8,"Rural population with access to safe drinking-water (JMP)",4115,2017,95.2,"I","","0"
"Albania",8,"Urban population with access to safe drinking-water (JMP)",4116,2017,94.9,"I","","0"
"Algeria",12,"Total population",4104,2017,41389.189,"X","","0"
"Algeria",12,"Rural population",4105,2017,11547.532,"X","","0"
"Algeria",12,"Urban population",4106,2017,29770.61,"X","","0"
"Algeria",12,"Flood occurrence (WRI)",4543,2017,2.8,"I","","0"
"Algeria",12,"Total population with access to safe drinking-water (JMP)",4114,2017,83.6,"I","","0"
"Algeria",12,"Rural population with access to safe drinking-water (JMP)",4115,2017,81.8,"I","","0"
"Algeria",12,"Urban population with access to safe drinking-water (JMP)",4116,2017,84.3,"I","","0"
"Andorra",20,"Total population",4104,2017,77.001,"X","","0"
"Andorra",20,"Rural population",4105,2017,9.12,"X","","0"
"Andorra",20,"Urban population",4106,2017,67.845,"X","","0"
"Andorra",20,"Flood occurrence (WRI)",4543,2017,3.3,"I","","0"
"Andorra",20,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Andorra",20,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Andorra",20,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Angola",24,"Total population",4104,2017,29816.766,"X","","0"
"Angola",24,"Rural population",4105,2017,10472.554,"X","","0"
"Angola",24,"Urban population",4106,2017,19311.639,"X","","0"
"Angola",24,"Flood occurrence (WRI)",4543,2017,1.7,"I","","0"
"Angola",24,"Total population with access to safe drinking-water (JMP)",4114,2017,49.0,"I","","0"
"Angola",24,"Rural population with access to safe drinking-water (JMP)",4115,2017,28.2,"I","","0"
"Angola",24,"Urban population with access to safe drinking-water (JMP)",4116,2017,75.4,"I","","0"
"Antigua and Barbuda",28,"Total population",4104,2017,95.426,"X","","0"
"Antigua and Barbuda",28,"Rural population",4105,2017,76.802,"X","","0"
"Antigua and Barbuda",28,"Urban population",4106,2017,25.21,"X","","0"
"Antigua and Barbuda",28,"Flood occurrence (WRI)",4543,2017,3.6,"I","","0"
"Antigua and Barbuda",28,"Total population with access to safe drinking-water (JMP)",4114,2017,97.9,"I","","0"
"Antigua and Barbuda",28,"Rural population with access to safe drinking-water (JMP)",4115,2017,97.9,"I","","0"
"Antigua and Barbuda",28,"Urban population with access to safe drinking-water (JMP)",4116,2017,97.9,"I","","0"
"Argentina",32,"Total population",4104,2017,43937.14,"X","","0"
"Argentina",32,"Rural population",4105,2017,3652.804,"X","","0"
"Argentina",32,"Urban population",4106,2017,40618.237,"X","","0"
"Argentina",32,"% of area equipped for irrigation salinized",4445,2017,24.7772592278,"E","","0"
"Argentina",32,"Flood occurrence (WRI)",4543,2017,2.5,"I","","0"
"Argentina",32,"Total population with access to safe drinking-water (JMP)",4114,2017,99.1,"I","","0"
"Argentina",32,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Argentina",32,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.0,"I","","0"
"Argentina",32,"Population affected by water related disease",4403,2017,5607.0,"I","","0"
"Armenia",51,"Total population",4104,2017,2944.791,"X","","0"
"Armenia",51,"Rural population",4105,2017,1081.248,"X","","0"
"Armenia",51,"Urban population",4106,2017,1849.202,"X","","0"
"Armenia",51,"% of area equipped for irrigation salinized",4445,2017,20.9333333333,"E","","0"
"Armenia",51,"Flood occurrence (WRI)",4543,2017,3.3,"I","","0"
"Armenia",51,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Armenia",51,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Armenia",51,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2017,1.644,"I","","0"
"Australia",36,"Total population",4104,2017,24584.62,"X","","0"
"Australia",36,"Rural population",4105,2017,3446.638,"X","","0"
"Australia",36,"Urban population",4106,2017,21003.923,"X","","0"
"Australia",36,"% of area equipped for irrigation salinized",4445,2017,7.8554595444,"E","","0"
"Australia",36,"Flood occurrence (WRI)",4543,2017,2.7,"I","","0"
"Australia",36,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Australia",36,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Australia",36,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Austria",40,"Total population",4104,2017,8819.901,"X","","0"
"Austria",40,"Rural population",4105,2017,3660.707,"X","","0"
"Austria",40,"Urban population",4106,2017,5074.746,"X","","0"
"Austria",40,"Flood occurrence (WRI)",4543,2017,3.3,"I","","0"
"Austria",40,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Austria",40,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Austria",40,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Azerbaijan",31,"Total population",4104,2017,9845.32,"X","","0"
"Azerbaijan",31,"Rural population",4105,2017,4388.663,"X","","0"
"Azerbaijan",31,"Urban population",4106,2017,5438.926,"X","","0"
"Azerbaijan",31,"% of area equipped for irrigation salinized",4445,2017,19.9308437068,"E","","0"
"Azerbaijan",31,"Flood occurrence (WRI)",4543,2017,3.0,"I","","0"
"Azerbaijan",31,"Total population with access to safe drinking-water (JMP)",4114,2017,87.0,"I","","0"
"Azerbaijan",31,"Rural population with access to safe drinking-water (JMP)",4115,2017,77.8,"I","","0"
"Azerbaijan",31,"Urban population with access to safe drinking-water (JMP)",4116,2017,94.7,"I","","0"
"Bahamas",44,"Total population",4104,2017,381.755,"X","","0"
"Bahamas",44,"Rural population",4105,2017,67.508,"X","","0"
"Bahamas",44,"Urban population",4106,2017,327.853,"X","","0"
"Bahamas",44,"Total population with access to safe drinking-water (JMP)",4114,2017,98.4,"I","","0"
"Bahamas",44,"Rural population with access to safe drinking-water (JMP)",4115,2017,98.4,"I","","0"
"Bahamas",44,"Urban population with access to safe drinking-water (JMP)",4116,2017,98.4,"I","","0"
"Bahrain",48,"Total population",4104,2017,1494.076,"X","","0"
"Bahrain",48,"Rural population",4105,2017,161.409,"X","","0"
"Bahrain",48,"Urban population",4106,2017,1331.175,"X","","0"
"Bahrain",48,"% of area equipped for irrigation salinized",4445,2017,28.5522788204,"E","","0"
"Bahrain",48,"Flood occurrence (WRI)",4543,2017,0.0,"I","","0"
"Bahrain",48,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Bahrain",48,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Bahrain",48,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Bangladesh",50,"Total population",4104,2017,159685.424,"X","","0"
"Bangladesh",50,"Rural population",4105,2017,105622.933,"X","","0"
"Bangladesh",50,"Urban population",4106,2017,59046.818,"X","","0"
"Bangladesh",50,"% of area equipped for irrigation salinized",4445,2017,1.9801980198,"E","","0"
"Bangladesh",50,"Flood occurrence (WRI)",4543,2017,4.9,"I","","0"
"Bangladesh",50,"Total population with access to safe drinking-water (JMP)",4114,2017,86.9,"I","","0"
"Bangladesh",50,"Rural population with access to safe drinking-water (JMP)",4115,2017,87.0,"I","","0"
"Bangladesh",50,"Urban population with access to safe drinking-water (JMP)",4116,2017,86.5,"I","","0"
"Barbados",52,"Total population",4104,2017,286.232,"X","","0"
"Barbados",52,"Rural population",4105,2017,196.693,"X","","0"
"Barbados",52,"Urban population",4106,2017,89.026,"X","","0"
"Barbados",52,"Flood occurrence (WRI)",4543,2017,3.6,"I","","0"
"Barbados",52,"Total population with access to safe drinking-water (JMP)",4114,2017,99.7,"I","","0"
"Barbados",52,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.7,"I","","0"
"Barbados",52,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.7,"I","","0"
"Belarus",112,"Total population",4104,2017,9450.231,"X","","0"
"Belarus",112,"Rural population",4105,2017,2070.383,"X","","0"
"Belarus",112,"Urban population",4106,2017,7397.955,"X","","0"
"Belarus",112,"Flood occurrence (WRI)",4543,2017,2.6,"I","","0"
"Belarus",112,"Total population with access to safe drinking-water (JMP)",4114,2017,99.7,"I","","0"
"Belarus",112,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.1,"I","","0"
"Belarus",112,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.9,"I","","0"
"Belgium",56,"Total population",4104,2017,11419.748,"X","","0"
"Belgium",56,"Rural population",4105,2017,233.097,"X","","0"
"Belgium",56,"Urban population",4106,2017,11196.239,"X","","0"
"Belgium",56,"Flood occurrence (WRI)",4543,2017,2.8,"I","","0"
"Belgium",56,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Belgium",56,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Belgium",56,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Belize",84,"Total population",4104,2017,375.769,"X","","0"
"Belize",84,"Rural population",4105,2017,203.824,"X","","0"
"Belize",84,"Urban population",4106,2017,170.857,"X","","0"
"Belize",84,"Flood occurrence (WRI)",4543,2017,2.6,"I","","0"
"Belize",84,"Total population with access to safe drinking-water (JMP)",4114,2017,99.5,"I","","0"
"Belize",84,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Belize",84,"Urban population with access to safe drinking-water (JMP)",4116,2017,98.9,"I","","0"
"Benin",204,"Total population",4104,2017,11175.198,"X","","0"
"Benin",204,"Rural population",4105,2017,5949.046,"X","","0"
"Benin",204,"Urban population",4106,2017,5226.646,"X","","0"
"Benin",204,"Flood occurrence (WRI)",4543,2017,3.6,"I","","0"
"Benin",204,"Total population with access to safe drinking-water (JMP)",4114,2017,77.9,"I","","0"
"Benin",204,"Rural population with access to safe drinking-water (JMP)",4115,2017,72.1,"I","","0"
"Benin",204,"Urban population with access to safe drinking-water (JMP)",4116,2017,85.2,"I","","0"
"Bhutan",64,"Total population",4104,2017,745.563,"X","","0"
"Bhutan",64,"Rural population",4105,2017,483.217,"X","","0"
"Bhutan",64,"Urban population",4106,2017,324.393,"X","","0"
"Bhutan",64,"Flood occurrence (WRI)",4543,2017,4.7,"I","","0"
"Bhutan",64,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Bhutan",64,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
