

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"National Rainfall Index (NRI)",4472,2017,185.0,"I","","0"
"Afghanistan",4,"Total internal renewable water resources per capita",4158,2017,1299.0371723826,"E","","0"
"Afghanistan",4,"Dependency ratio",4192,2017,28.7226001512,"E","","0"
"Afghanistan",4,"Total renewable water resources per capita",4190,2017,1799.9172528474,"E","","0"
"Afghanistan",4,"Interannual variability (WRI)",4541,2017,2.5,"I","","0"
"Afghanistan",4,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Afghanistan",4,"Dam capacity per capita",4471,2017,55.3502795189,"E","","0"
"Albania",8,"National Rainfall Index (NRI)",4472,2017,1136.0,"I","","0"
"Albania",8,"Total internal renewable water resources per capita",4158,2017,9326.7766209262,"E","","0"
"Albania",8,"Dependency ratio",4192,2017,10.9271523179,"E","","0"
"Albania",8,"Total renewable water resources per capita",4190,2017,10470.9536785119,"E","","0"
"Albania",8,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Albania",8,"Seasonal variability (WRI)",4542,2017,2.4,"I","","0"
"Albania",8,"Dam capacity per capita",4471,2017,1397.2828915365,"E","","0"
"Algeria",12,"National Rainfall Index (NRI)",4472,2017,241.5,"I","","0"
"Algeria",12,"Total internal renewable water resources per capita",4158,2017,271.7376269441,"E","","0"
"Algeria",12,"Dependency ratio",4192,2017,3.5998971458,"E","","0"
"Algeria",12,"Total renewable water resources per capita",4190,2017,281.8852043706,"E","","0"
"Algeria",12,"Interannual variability (WRI)",4541,2017,2.3,"I","","0"
"Algeria",12,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Algeria",12,"Dam capacity per capita",4471,2017,208.2488255568,"E","","0"
"Andorra",20,"Total internal renewable water resources per capita",4158,2017,4098.6480695056,"E","","0"
"Andorra",20,"Dependency ratio",4192,2007,,"","","0"
"Andorra",20,"Total renewable water resources per capita",4190,2017,4098.6480695056,"E","","0"
"Andorra",20,"Interannual variability (WRI)",4541,2017,1.5,"I","","0"
"Andorra",20,"Seasonal variability (WRI)",4542,2017,1.6,"I","","0"
"Angola",24,"National Rainfall Index (NRI)",4472,2017,1137.0,"I","","0"
"Angola",24,"Total internal renewable water resources per capita",4158,2017,4963.6503167379,"E","","0"
"Angola",24,"Dependency ratio",4192,2017,0.269541779,"E","","0"
"Angola",24,"Total renewable water resources per capita",4190,2017,4977.0655878642,"E","","0"
"Angola",24,"Interannual variability (WRI)",4541,2017,2.5,"I","","0"
"Angola",24,"Seasonal variability (WRI)",4542,2017,3.1,"I","","0"
"Angola",24,"Dam capacity per capita",4471,2017,316.7751324875,"E","","0"
"Antigua and Barbuda",28,"Total internal renewable water resources per capita",4158,2017,544.9248632448,"E","","0"
"Antigua and Barbuda",28,"Dependency ratio",4192,2017,0.0,"E","","0"
"Antigua and Barbuda",28,"Total renewable water resources per capita",4190,2017,544.9248632448,"E","","0"
"Antigua and Barbuda",28,"Dam capacity per capita",4471,2017,52.616687276,"E","","0"
"Argentina",32,"National Rainfall Index (NRI)",4472,2017,1062.0,"I","","0"
"Argentina",32,"Total internal renewable water resources per capita",4158,2017,6645.8581509857,"E","","0"
"Argentina",32,"Dependency ratio",4192,2017,66.6757965854,"E","","0"
"Argentina",32,"Total renewable water resources per capita",4190,2017,19943.0368021223,"E","","0"
"Argentina",32,"Interannual variability (WRI)",4541,2017,2.4,"I","","0"
"Argentina",32,"Seasonal variability (WRI)",4542,2017,1.8,"I","","0"
"Argentina",32,"Dam capacity per capita",4471,2017,2994.365700635,"E","","0"
"Armenia",51,"National Rainfall Index (NRI)",4472,2017,352.1,"I","","0"
"Armenia",51,"Total internal renewable water resources per capita",4158,2017,2329.1975559556,"E","","0"
"Armenia",51,"Dependency ratio",4192,2017,11.7132192045,"E","","0"
"Armenia",51,"Total renewable water resources per capita",4190,2017,2638.2177886308,"E","","0"
"Armenia",51,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Armenia",51,"Seasonal variability (WRI)",4542,2017,2.4,"I","","0"
"Armenia",51,"Dam capacity per capita",4471,2017,470.9706053842,"E","","0"
"Australia",36,"National Rainfall Index (NRI)",4472,2017,717.1,"I","","0"
"Australia",36,"Total internal renewable water resources per capita",4158,2017,20012.5118875134,"E","","0"
"Australia",36,"Dependency ratio",4192,2017,0.0,"E","","0"
"Australia",36,"Total renewable water resources per capita",4190,2017,20012.5118875134,"E","","0"
"Australia",36,"Interannual variability (WRI)",4541,2017,3.2,"I","","0"
"Australia",36,"Seasonal variability (WRI)",4542,2017,2.0,"I","","0"
"Australia",36,"Dam capacity per capita",4471,2017,3164.0228728368,"E","","0"
"Austria",40,"National Rainfall Index (NRI)",4472,2017,1126.0,"I","","0"
"Austria",40,"Total internal renewable water resources per capita",4158,2017,6235.8976591687,"E","","0"
"Austria",40,"Dependency ratio",4192,2017,29.2149292149,"E","","0"
"Austria",40,"Total renewable water resources per capita",4190,2017,8809.6226930438,"E","","0"
"Austria",40,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Austria",40,"Seasonal variability (WRI)",4542,2017,0.7,"I","","0"
"Austria",40,"Dam capacity per capita",4471,2017,241.2385354439,"E","","0"
"Azerbaijan",31,"National Rainfall Index (NRI)",4472,2017,459.7,"I","","0"
"Azerbaijan",31,"Total internal renewable water resources per capita",4158,2017,824.2494911288,"E","","0"
"Azerbaijan",31,"Dependency ratio",4192,2017,76.5969718818,"E","","0"
"Azerbaijan",31,"Total renewable water resources per capita",4190,2017,3521.9779550081,"E","","0"
"Azerbaijan",31,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Azerbaijan",31,"Seasonal variability (WRI)",4542,2017,2.0,"I","","0"
"Azerbaijan",31,"Dam capacity per capita",4471,2017,2188.0853034741,"E","","0"
"Bahamas",44,"National Rainfall Index (NRI)",4472,2017,1320.0,"I","","0"
"Bahamas",44,"Total internal renewable water resources per capita",4158,2017,1833.6367565585,"E","","0"
"Bahamas",44,"Dependency ratio",4192,2017,0.0,"E","","0"
