

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,98.169627299,"E","","0"
"Afghanistan",4,"Industrial water withdrawal as % of total water withdrawal",4256,2017,0.8319875914,"E","","0"
"Afghanistan",4,"Municipal water withdrawal as % of total withdrawal",4255,2017,0.9983851096,"E","","0"
"Afghanistan",4,"Total water withdrawal per capita",4257,2017,561.2970182234,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,31.0454615031,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,30.6138068269,"I","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2017,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2017,0.9237777733,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,0.1205568988,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,28.2292887814,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,57.1486222951,"E","","0"
"Albania",8,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,63.7413720242,"E","","0"
"Albania",8,"Industrial water withdrawal as % of total water withdrawal",4256,2017,16.3262431328,"E","","0"
"Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2017,19.9323848429,"E","","0"
"Albania",8,"Total water withdrawal per capita",4257,2017,492.2735110183,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,3.9337748344,"E","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,2.9966887417,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2017,7.1394230769,"E","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2017,6.6569071373,"I","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,1.2202894152,"E","","0"
"Albania",8,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,9.331023806,"E","","0"
"Albania",8,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,21.8522385675,"E","","0"
"Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,63.7640986427,"E","","0"
"Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2017,1.8256547505,"E","","0"
"Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2017,34.4102466068,"E","","0"
"Algeria",12,"Total water withdrawal per capita",4257,2017,252.7713215159,"E","","0"
"Algeria",12,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,84.0147424359,"E","","0"
"Algeria",12,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,57.1783663324,"E","","0"
"Algeria",12,"SDG 6.4.2. Water Stress",4550,2017,137.9203602082,"E","","0"
"Algeria",12,"SDG 6.4.1. Water Use Efficiency",4551,2017,14.3546195882,"E","","0"
"Algeria",12,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,0.6183399143,"E","","0"
"Algeria",12,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,329.8714798181,"E","","0"
"Algeria",12,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,23.0687866439,"E","","0"
"Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,20.7849249079,"I","","0"
"Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2017,33.9472938509,"I","","0"
"Angola",24,"Municipal water withdrawal as % of total withdrawal",4255,2017,45.2677812411,"I","","0"
"Angola",24,"Total water withdrawal per capita",4257,2017,23.6712459024,"E","","0"
"Angola",24,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,0.4755390836,"I","","0"
"Angola",24,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,0.0988544474,"I","","0"
"Angola",24,"SDG 6.4.2. Water Stress",4550,2017,1.8718832891,"E","","0"
"Angola",24,"SDG 6.4.1. Water Use Efficiency",4551,2017,142.4678361857,"I","","0"
"Angola",24,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,0.2479818478,"E","","0"
"Angola",24,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,196.79070911,"E","","0"
"Angola",24,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,167.0308793114,"E","","0"
"Antigua and Barbuda",28,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,15.652173913,"I","","0"
"Antigua and Barbuda",28,"Industrial water withdrawal as % of total water withdrawal",4256,2017,21.7391304348,"I","","0"
"Antigua and Barbuda",28,"Municipal water withdrawal as % of total withdrawal",4255,2017,62.6086956522,"I","","0"
"Antigua and Barbuda",28,"Total water withdrawal per capita",4257,2017,120.5122293714,"E","","0"
"Antigua and Barbuda",28,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,8.4615384615,"I","","0"
"Antigua and Barbuda",28,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,3.4615384615,"I","","0"
"Antigua and Barbuda",28,"SDG 6.4.2. Water Stress",4550,2017,8.4615384615,"I","","0"
"Antigua and Barbuda",28,"SDG 6.4.1. Water Use Efficiency",4551,2017,109.8390234755,"I","","0"
"Antigua and Barbuda",28,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,1.869824499,"E","","0"
"Antigua and Barbuda",28,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,88.3892972031,"E","","0"
"Antigua and Barbuda",28,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,144.2791448419,"E","","0"
"Argentina",32,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,73.928004235,"I","","0"
"Argentina",32,"Industrial water withdrawal as % of total water withdrawal",4256,2017,10.5876124934,"I","","0"
"Argentina",32,"Municipal water withdrawal as % of total withdrawal",4255,2017,15.4843832716,"I","","0"
"Argentina",32,"Total water withdrawal per capita",4257,2017,859.8647977542,"E","","0"
"Argentina",32,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,4.3013329681,"I","","0"
"Argentina",32,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,3.1874828814,"I","","0"
"Argentina",32,"SDG 6.4.2. Water Stress",4550,2017,10.4566640772,"E","","0"
