,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
AFG,26.08,13.22,36.92,27.244,79.726,25.8,21.595,74.658,4.542,0.123,36.0,27.0,17.755,45.4,28.3,17.434,-0.061,45.621,11.118,41.78,48.892,43.456,42.839,38.999,66.288,12.622,17.755,33.56766835272784,25.202861062883393,83.779,2202.278,2229.362,819.385,3565.865,0.655,0.226,0.495,0.69,0.469,0.414,0.511,0.659,0.391,0.593,0.40062636562859527,1.948,6.006,64.83,10.176,3.93,66.388,63.382,7.714,12.521,38.042,20.889,0.995,5.639,68.957,1.06,77.346,4.764,169.0,1.356,1.308,29.77273215574926,0.3602802172280736
AGO,30.232,23.133,38.056,30.0,65.995,66.2,76.136,78.913,0.002,-4.331,49.0,33.0,23.581548707852846,34.3,32.0,15.982,0.077,78.16963669364384,6.886,9.623,77.493,72.157,50.38,41.498,53.323,44.167,25.375627862313802,31.67,28.9,211.763,6653.908,6104.055,5205.049,7022.231,0.536,0.328,0.43,0.633,0.621,0.5,0.581,0.903,0.552,0.611,0.442,4.023,6.359,61.15,11.777,5.174,64.039,58.416,11.023,12.687,31.825,16.288,0.7,5.67,150.526,1.03,91.097,4.297,148.0,1.016,0.906,31.733,0.397
ALB,93.174,93.7,92.497,29.508,52.852,61.2,46.712,64.568,9.64,7.912,5.0,1.0,22.336,12.3,7.2,28.133,-6.547,76.728,12.331,30.253,55.732,48.86,36.691,43.304,0.835,39.171,27.556421713271103,10.943,13.179,39.85,13961.797,13998.3,11004.455,16884.667,0.181,0.655,0.836,0.901,0.746,0.746,0.795,0.967,0.78,0.807,0.648,9.702,10.614,78.57,14.696,10.146,80.201,77.002,15.501,13.957,2.881,1.97,0.409,0.169,19.642,1.09,25.439,20.764,69.0,0.903,0.799,10.893,0.708
AND,72.327,71.484,73.327,46.429,15.428839730690651,88.0,54.35136427096752,72.23298254036149,1.7035725740765808,3.2866247923122955,1.0,1.0,20.412304057083798,10.008,7.199645790040364,18.84336176743109,-0.9854808241161166,100.58298097132942,8.692599588908273,14.552148067956718,63.380012945832505,58.18711102393986,7.499642902425499,70.89725617071518,-5.319099334405422,42.553837692205136,22.762531176828634,13.750652107325555,22.67419670829148,1385.7369726845877,58417.15320876814,56000.303,41554.62277632289,67926.35428367817,0.18140815121412462,0.648,0.9078004502343852,0.952,0.956,0.72,0.868,0.9590225618748117,0.8477008379439874,0.8773014797995176,0.7601810963059403,10.439,10.564,81.91,13.3,10.502,77.81536488992133,86.49033343582244,13.640494013602074,13.212139370706177,0.077,10.99655933023211,8.357938784780707,-7.122258737698032,14.97692800619506,1.058547177891214,25.017927853130153,21.992987232415352,36.0,1.788413933205424,1.412072549560903,10.066536476300183,0.786987972366077
ARG,57.158,59.161,54.828,39.877,21.805,92.0,50.721,72.73,0.119,1.389,6.0,9.0,13.091,5.954,8.6,25.348,0.559,32.394,9.789,19.247,61.302,55.301,0.092,78.497,0.669,42.442,18.166,13.728,25.159,990.177,22033.945,21190.177,14872.167,27825.757,0.328,0.804,0.797,0.872,0.809,0.855,0.845,0.993,0.835,0.84,0.606,11.123,10.729,76.67,17.654,10.941,79.995,73.242,18.909,16.431,44.781,28.732,5.035,3.742,62.782,1.04,38.334,17.523,46.0,1.222,1.291,13.238,0.729
ARM,97.222,97.268,97.152,23.485,38.668,63.2,47.074,65.887,11.174,1.861,5.0,4.0,15.754,2.9,8.7,35.494,-2.964,91.432,16.99,36.506,55.624,46.173,29.638,53.187,6.197,43.909,17.448,9.923,17.4,40.384,13653.75,13894.013,9737.422,18574.006,0.245,0.718,0.774,0.848,0.745,0.74,0.776,0.982,0.766,0.78,0.616,11.298,11.306,75.09,13.069,11.302,78.516,71.327,13.603,12.585,2.958,2.004,0.34,0.208,21.49,1.11,30.651,16.95,81.0,1.034,1.384,9.667,0.699
ATG,61.04205523558894,58.88427444237668,63.44096655650061,31.429,34.04687059794735,24.5,54.10323233937318,71.5218167463816,1.43,5.100027430284966,7.0,1.0,24.859658623333843,17.619644286300883,5.8,15.344552859278274,-5.682963348287608,93.35904590826253,5.7413208951384505,17.937307459146037,62.58090660998273,59.348621067491166,28.261419525818695,50.40631890211914,13.18948801676818,42.405224105472044,27.119723596136215,15.469313680361122,21.417424331808412,2.128,21908.459,20895.359,15359.123852428305,25856.13679684555,0.2600159535201405,0.5584066352388288,0.826,0.877,0.807,0.665,0.778,0.951793925915447,0.7538314887611608,0.7894562361366015,0.6383039690378478,9.138833927760802,9.412458434368702,77.02,12.772,9.294,78.104,75.858,13.204,12.14,0.097,0.067,0.009,0.007,42.782,1.03,31.827,13.123,78.0,2.0987011307172816,1.6686542457333084,16.33431372763704,0.6504896603183452
AUS,90.985,91.025,90.945,36.564,10.634,86.1,60.3,70.855,0.124,2.772,5.0,2.0,23.308,2.7,3.7,12.063,0.302,45.686,5.268,8.439,65.518,62.067,2.56,77.635,-6.797090321344115,46.947,23.263,8.157,17.3,1262.034,49756.307,48084.842,39286.574,56953.614,0.097,0.899,0.94,0.976,0.933,0.924,0.944,0.976,0.932,0.955,0.771,12.796,12.651,83.44,21.954,12.725,85.403,81.492,22.431,21.483,25.203,16.333,4.013,1.655,11.715,1.06,29.744,24.569,8.0,1.022,0.853,7.9,0.867
AUT,99.967,100.0,99.787,38.525,7.385,58.5,55.059,66.573,0.69,2.939,6.0,10.0,24.289,2.917,3.7,8.369,-0.393,107.725,4.674,6.311,60.684,57.848,3.581,71.163,-1.9365632455340602,46.671,25.399,7.05,14.117,500.244,56352.445,56196.899,39385.878,73527.754,0.069,0.84,0.912,0.947,0.956,0.865,0.922,0.964,0.903,0.937,0.821,12.24,12.872,81.54,16.092,12.546,83.866,79.169,16.387,15.813,8.955,5.961,1.708,0.442,7.34,1.06,21.577,28.658,18.0,0.95,0.893,6.912,0.857
AZE,95.641,93.902,97.501,16.807,55.231,56.0,63.411,69.737,2.654,3.13,2.0,4.0,19.386,5.3,13.9,14.558,2.74,86.044,5.509,13.021,66.502,62.838,35.87,49.273,0.06,44.146,20.14,9.524,8.9,144.374,14403.85,13783.68,8919.238,18663.688,0.323,0.673,0.702,0.816,0.744,0.711,0.756,0.943,0.73,0.774,0.678,10.246,10.933,73.01,12.894,10.575,75.455,70.511,13.01,12.791,10.048,7.045,0.648,0.848,55.838,1.13,33.435,9.194,88.0,1.341,1.237,9.367,0.684
BDI,9.401,7.5,11.373,38.75,94.581,13.4,80.434,77.819,1.604,0.665989885879199,8.0,3.0,12.263,39.5,28.5,2.693,16.31616307562354,41.857,1.427,3.981,79.154,78.024,92.023,6.512,89.362,26.206,12.263,30.023,20.9,8.667,751.664,753.909,865.899,640.105,0.504,0.252,0.457,0.64,0.305,0.417,0.433,0.999,0.432,0.432,0.241,2.608,4.052,61.58,11.069,3.288,63.377,59.764,11.038,11.105,11.531,6.029,0.267,2.019,55.59,1.03,86.829,4.422,185.0,0.537,0.444,29.633,0.303
