city,lat,lng,country,population
Tokyo,35.6897,139.6922,Japan,37977000.0
Osaka,34.6936,135.5019,Japan,14977000.0
Nagoya,35.1167,136.9333,Japan,9113000.0
Yokohama,35.4333,139.6333,Japan,3748781.0
Fukuoka,33.5903,130.4019,Japan,2128000.0
Sapporo,43.0621,141.3544,Japan,1958756.0
Jakarta,-6.2146,106.8451,Indonesia,34540000.0
Surabaya,-7.2458,112.7378,Indonesia,4975000.0
Bandung,-6.95,107.5667,Indonesia,2394873.0
Bekasi,-6.2333,107.0,Indonesia,2381053.0
Tangerang,-6.1783,106.6319,Indonesia,2237006.0
Medan,3.6667,98.6667,Indonesia,2210625.0
Delhi,28.66,77.23,India,29617000.0
Mumbai,18.9667,72.8333,India,23355000.0
Kolkata,22.5411,88.3378,India,17560000.0
Bangalore,12.9699,77.598,India,13707000.0
Chennai,13.0825,80.275,India,11324000.0
Hyderabad,17.3667,78.4667,India,9746000.0
Manila,14.5958,120.9772,Philippines,23088000.0
Quezon City,14.6333,121.0333,Philippines,2936116.0
Davao,7.0667,125.6,Philippines,1632991.0
Caloocan City,14.65,120.9667,Philippines,1583978.0
Cebu City,10.3,123.9,Philippines,922611.0
Zamboanga City,6.9167,122.0833,Philippines,861799.0
Shanghai,31.1667,121.4667,China,22120000.0
Guangzhou,23.1288,113.259,China,20902000.0
Beijing,39.905,116.3914,China,19433000.0
Shenzhen,22.535,114.054,China,15929000.0
Nanyang,32.9987,112.5292,China,12010000.0
Chengdu,30.6636,104.0667,China,11309000.0
Sao Paulo,-23.5504,-46.6339,Brazil,22046000.0
Rio de Janeiro,-22.9083,-43.1964,Brazil,12272000.0
Belo Horizonte,-19.8917,-43.9478,Brazil,5159000.0
Brasilia,-15.7744,-48.0773,Brazil,3015268.0
Salvador,-12.9708,-38.5108,Brazil,2921087.0
Fortaleza,-3.7275,-38.5275,Brazil,2452185.0
Seoul,37.5833,127.0,"Korea, South",21794000.0
Busan,35.1,129.0403,"Korea, South",3440484.0
Incheon,37.4639,126.6486,"Korea, South",2913024.0
Daegu,35.8667,128.6,"Korea, South",2461002.0
Gwangju,35.1667,126.9167,"Korea, South",1501557.0
Daejeon,36.351,127.385,"Korea, South",1475221.0
Mexico City,19.4333,-99.1333,Mexico,20996000.0
Guadalajara,20.6767,-103.3475,Mexico,5253000.0
Monterrey,25.6667,-100.3,Mexico,4295000.0
Tijuana,32.525,-117.0333,Mexico,2384609.0
Ecatepec,19.6097,-99.06,Mexico,1656107.0
Puebla,19.0333,-98.1833,Mexico,1576259.0
Cairo,30.0561,31.2394,Egypt,19372000.0
Alexandria,31.2,29.9167,Egypt,4870000.0
Giza,29.987,31.2118,Egypt,3021542.0
Shubra al Khaymah,30.1286,31.2422,Egypt,1025569.0
