,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,SNA price valuation,Lending category,System of National Accounts,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,Recent VALUES,Indicator Code,Topic,Indicator Name,Limitations and exceptions,Statistical concept and methodology
0,AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",South Asia,Low income,AF,2002/03,Value added at basic prices (VAB),IDA,Country uses the 1993 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),1979,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2011",,,2016.0,2000.0,0.053695339,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
1,AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,,Sub-Saharan Africa,Lower middle income,AO,2002,Value added at producer prices (VAP),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09",,,2016.0,2005.0,7.890000000000001e-13,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
2,ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,,Europe & Central Asia,Upper middle income,AL,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2008/09","Living Standards Measurement Study Survey (LSMS), 2012",2012,2013.0,2016.0,2006.0,0.374622329,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
3,AND,Andorra,Andorra,Principality of Andorra,AD,Euro,WB-3 code changed from ADO to AND to align with ISO code.,Europe & Central Asia,High income,AD,2000,Value added at basic prices (VAB),,Country uses the 1993 System of National Accounts methodology,,,,General trade system,,,2011. Population data compiled from administrative registers.,,,,,,,0.36942020700000006,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
4,ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,,Middle East & North Africa,High income,AE,2010,Value added at basic prices (VAB),,Country uses the 1993 System of National Accounts methodology,2011,,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2010,"World Health Survey, 2003",,2012,1985.0,2016.0,2005.0,0.34386209700000003,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
5,ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,"National Institute of Statistics and Census revised national accounts from 2004-2015. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, is classified as upper middle income for FY17 as of September 29, 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period.",Latin America & Caribbean,Upper middle income,AR,2004,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey, 2011/12","Integrated household survey (IHS), 2014",2008,2002.0,2016.0,2011.0,0.6214723529999999,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
6,ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,,Europe & Central Asia,Lower middle income,AM,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2014",2014,,2016.0,2012.0,0.320281183,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
7,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics;,East Asia & Pacific,High income,AU,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Expenditure survey/budget survey (ES/BS), 2010",2011,2013.0,2016.0,2013.0,0.388480648,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
8,AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,AT,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2011. Population data compiled from administrative registers.,,"Integrated household survey (IHS), 2012",2010,2014.0,2016.0,2010.0,3.335967259,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
9,AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,,Europe & Central Asia,Upper middle income,AZ,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Demographic and Health Survey, 2006","Living Standards Measurement Study Survey (LSMS), 2012",2015,2013.0,2016.0,2012.0,0.006250701,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
