,risk0,risk1,risk2,risk3,risk4,risk5,risk6
alpha,8.464962339038117,15.05853045831147,7.677085830819679,6.292530700078017,7.431304373255147,4.090124272170184,6.024789276865848
colsample_bytree,0.7926991255672512,0.32420013765712774,0.6157340909868544,0.40057696167802676,0.3,0.7532292657174204,0.8965488665631218
gamma,0.6341043683280728,0.789382167941575,0.9714813888497944,0.8546602829398451,1.0,0.1634066216367528,0.15842137391813427
learning_rate,0.353441871200459,0.38509535751454993,0.1334471365397537,0.16198862161173463,0.5,0.4104113577486168,0.469034600327226
max_depth,3,1,4,1,7,6,2
min_child_weight,0.5681572954690528,0.5420081378165177,1.171510458965171,1.384831568694842,1.5,1.3666039637408012,1.1204761341589504
n_estimators,257,477,937,969,558,608,607
subsample,0.8074000398179517,0.9264228753764984,0.8044339456680006,0.8659668741186126,1.0,0.9584953420466152,0.9848365939700545
objective,reg:squarederror,reg:squarederror,reg:squarederror,reg:squarederror,reg:squarederror,reg:squarederror,reg:squarederror
random_state,42,42,42,42,42,42,42
