Code,Agricultural water withdrawal as % of total renewable water resources,Agricultural water withdrawal as % of total water withdrawal,Dam capacity per capita,Dependency ratio,Flood occurrence (WRI),Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,Municipal water withdrawal as % of total withdrawal,National Rainfall Index (NRI),Rural population with access to safe drinking-water (JMP),SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,SDG 6.4.1. Services Water Use Efficiency,SDG 6.4.1. Water Use Efficiency,SDG 6.4.2. Water Stress,Seasonal variability (WRI),Total internal renewable water resources per capita,Total population with access to safe drinking-water (JMP),Total renewable water resources per capita,Total water withdrawal per capita,Urban population with access to safe drinking-water (JMP),Country
AFG,30.6138068269,98.169627299,55.3502795189,28.7226001512,3.7,0.8319875914,2.5,31.0454615031,0.9983851096,185.0,47.0,28.2292887814,0.1205568988,57.1486222951,0.9237777733,54.7570194384,2.5,1299.0371723826,55.3,1799.9172528474,561.2970182234,78.2,Afghanistan
ALB,2.9966887417,63.7413720242,1397.2828915365,10.9271523179,2.7,16.3262431328,1.2,3.9337748344,19.9323848429,1136.0,95.2,9.331023806,1.2202894152,21.8522385675,6.6569071373,7.1394230769,2.4,9326.7766209262,95.1,10470.9536785119,492.2735110183,94.9,Albania
DZA,57.1783663324,63.7640986427,208.2488255568,3.5998971458,2.8,1.8256547505,2.3,84.0147424359,34.4102466068,241.5,81.8,329.8714798181,0.6183399143,23.0687866439,14.3546195882,137.9203602082,1.9,271.7376269441,83.6,281.8852043706,252.7713215159,84.3,Algeria
AND,57.771077578778815,53.09641316860762,996.1771356587451,20.866262072627194,3.3,18.168755611000805,1.5,60.12262581214517,28.73483047267098,1071.311544331408,100.0,466.48988648123134,1.3310969094505634,146.63270938117194,86.300425732854,69.03380853793128,1.6,4098.6480695056,100.0,4098.6480695056,422.6804014615815,100.0,Andorra
AGO,0.0988544474,20.7849249079,316.7751324875,0.269541779,1.7,33.9472938509,2.5,0.4755390836,45.2677812411,1137.0,28.2,196.79070911,0.2479818478,167.0308793114,142.4678361857,1.8718832891,3.1,4963.6503167379,49.0,4977.0655878642,23.6712459024,75.4,Angola
ATG,3.4615384615,15.652173913,52.616687276,0.0,3.6,21.7391304348,1.5977584231258684,8.4615384615,62.6086956522,1058.9833000853735,97.9,88.3892972031,1.869824499,144.2791448419,109.8390234755,8.4615384615,1.7377871944295324,544.9248632448,97.9,544.9248632448,120.5122293714,97.9,Antigua and Barbuda
ARG,3.1874828814,73.928004235,2994.365700635,66.6757965854,2.5,10.5876124934,2.4,4.3013329681,15.4843832716,1062.0,100.0,32.6395950352,0.1182923643,65.0549562883,13.6165637946,10.4566640772,1.8,6645.8581509857,99.1,19943.0368021223,859.8647977542,99.0,Argentina
ARM,27.3780409319,74.2201130574,470.9706053842,11.7132192045,3.3,4.2710586922,1.4,36.8773329901,21.5088282504,352.1,100.0,19.7188700513,0.3006164251,10.2060262081,3.2605190122,57.7970546702,2.4,2329.1975559556,100.0,2638.2177886308,973.1760250558,100.0,Armenia
AUS,2.1341463415,63.428778543,3164.0228728368,0.0,2.7,16.0807055697,3.2,3.2408536585,20.4905158874,717.1,100.0,106.2610897469,0.4699458481,267.9002193823,72.2797509034,6.4113389626,2.0,20012.5118875134,100.0,20012.5118875134,673.3478085079,100.0,Australia
AUT,0.0992277992,2.2078405544,241.2385354439,29.2149292149,3.3,77.1741931789,0.9,4.4916344916,20.6179662667,1126.0,100.0,33.9898804513,3.3647163088,360.9824208953,100.732937341,9.6435479414,0.7,6235.8976591687,100.0,8809.6226930438,395.9341493742,100.0,Austria
