Country Code,Duration of compulsory education (years),Official entrance age to lower secondary education (years),Official entrance age to primary education (years),Theoretical duration of primary education (years),Theoretical duration of secondary education (years),Theoretical duration of upper secondary education (years),"Adjusted net enrolment rate, primary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, female (%)","Gross enrolment ratio, pre-primary, male (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary, female (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, primary, male (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, secondary, female (%)","Gross enrolment ratio, secondary, gender parity index (GPI)","Gross enrolment ratio, secondary, male (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Gross intake ratio to Grade 1 of primary education, male (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)","Net enrolment rate, primary, both sexes (%)",Percentage of enrolment in pre-primary education in private institutions (%),Percentage of enrolment in primary education in private institutions (%),Percentage of enrolment in secondary education in private institutions (%),"Percentage of female students enrolled in primary education who are over-age, female (%)","Percentage of male students enrolled in primary education who are over-age, male (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Percentage of repeaters in primary education, all grades, female (%)","Percentage of repeaters in primary education, all grades, male (%)","Percentage of students enrolled in primary education who are over-age, both sexes (%)",Percentage of students in pre-primary education who are female (%),Percentage of students in primary education who are female (%),Percentage of students in secondary education who are female (%),Percentage of students in secondary general education who are female (%),Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population growth (annual %),"Population, female (% of total)","Population, male (% of total)","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, both sexes (%)","Primary completion rate, female (%)","Primary completion rate, male (%)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,Unnamed: 31
ABW,13,12,6,6,5,3,96.63654092984575,91.07285718609748,90.68907600076811,91.40645224882127,64.5984687354246,64.5699423558412,64.66843902753703,103.78242866670463,103.02717172438228,0.98437179167427,104.54105981559276,83.92933593835143,82.25444172797864,1.0008079126453384,85.40531771409132,75.28869078277557,105.66372607669561,104.63099239890228,106.68527332062152,88.66122693,45.55406673811112,-3.289676770905544,94.39145851696026,41.699404858907364,11.643028086752715,11.750408431660162,7.629442991531675,8.69059857617224,3.9611153141493287,3.5670194167274882,4.3251014969919055,8.186119118797675,48.572759735309354,48.48788494065284,49.54382292428721,50.77855131143259,18.7030984943598,69.1597742018957,0.524658158569933,52.4655210419881,47.5344789580119,1.4164225651605094,91.12574271007591,90.7525354759238,91.42594228507924,10.349563687802892,8.746524510744758,9.324957478275284,Aruba,Aruba,Aruba,AW,Aruban florin,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,Latin America & Caribbean,High income: nonOECD,AW,2000,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,,,2010,,,Yes,,,2012.0,,
AFG,9,13,7,6,6,3,87.41687380238646,67.4476165771484,49.5804405212402,84.3295593261719,64.30797585019953,63.26197312949904,65.30747475985045,111.877082824707,91.0832595825195,0.691999971866608,131.622924804688,55.6444091796875,39.7426986694336,0.562380015850067,70.6689300537109,42.6131286621094,115.520820617676,93.4858474731445,136.538864135742,8.26,16.7513939809208,73.2,89.37483798459647,31.023184763922426,3.46529006958008,2.67372989654541,5.40201997756958,5.91031980514526,3.7520518952444917,2.7466957965135244,4.606502857278031,5.70874977111816,45.845480592380696,39.6545486450195,34.6983985900879,34.9505004882813,44.5319836732294,52.974876405355,2.94323418503806,48.4545578446889,51.5454421553111,0.1,93.31278106822418,88.4988776106868,97.92035898594894,12.6999998092651,7.69999980926514,8.60000038146973,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.,South Asia,Low income,AF,2002/03,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,,,Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),1979,"Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2008",,2013/14,,2012.0,2000,
AGO,6,12,6,6,6,3,87.44670343294705,90.90351312586944,90.52700338029958,91.32539167135045,64.54837529504542,64.62687777600559,64.43181927097436,103.82832204049284,102.72829676578067,0.9820897135135264,104.85416340417117,87.61875824443334,90.1119272613667,0.9531185493154588,85.17573248849203,83.17708015407416,105.5681266723654,104.5737837891616,106.50666082451261,12.4,50.0786209809292,86.5,85.28441108457388,33.53571277893875,14.455615297465727,21.754562107548725,7.645583564746876,8.65258292745682,3.9380534652955355,3.6198898667372195,4.239502162949137,8.147953142279656,50.04163030122484,48.56402396451191,47.606039940535176,46.16580907653496,47.0803022544891,50.6133839304319,3.42802067046523,50.9910100765981,49.0089899234019,1.9,92.48617247974803,92.93002959027929,92.14372982880398,6.69999980926514,5.69999980926514,6.19999980926514,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.",Sub-Saharan Africa,Upper middle income,AO,2002,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,1991–96,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1970,"Malaria Indicator Survey (MIS), 2011","Integrated household survey (IHS), 2008",,2015,,,2005,
ALB,9,11,6,5,7,3,99.51693733446686,101.488372802734,99.8895034790039,102.980438232422,88.6022415161133,87.3989105224609,89.7223205566406,113.699798583984,111.719017028809,0.967060029506683,115.524299621582,95.7654876708984,92.5087966918945,0.935999989509583,98.834098815918,89.4602737426758,118.845848083496,115.507362365723,121.934143066406,63.2529327,42.0734794921326,14.0,99.87964995380014,6.47319984436035,5.93137979507446,7.61586999893188,6.35085010528564,7.46584987640381,0.840889990329742,0.681739985942841,0.982670009136199,6.94055986404419,47.5537605285645,47.1112899780273,46.8634910583496,49.3353309631348,18.0268746288507,69.4364209304935,-0.291205786840436,49.5145986425182,50.4854013574818,0.1,106.367561340332,104.699371337891,107.900123596191,17.2999992370605,17.0,17.1000003814697,Albania,Albania,Republic of Albania,AL,Albanian lek,,Europe & Central Asia,Upper middle income,AL,Original chained constant price data are rescaled.,1996.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2010.0,2012.0,2006,
AND,10,12,6,6,6,2,94.59243842065395,91.28108129252712,91.06735861152843,91.46782179568898,64.77697730011869,65.05593754643844,64.51573937120959,103.8478121722204,102.72331248408297,0.9777396861100696,104.9040634543402,80.63454107429541,76.80912845751067,0.9529950916370249,84.20302463724846,69.62373803691784,105.64913824947571,104.68392692369689,106.5806696351633,96.91,44.11571295400127,2.8,93.97019136447057,2.10136008262634,1.80114996433258,2.84414005279541,8.18505001068115,8.51161003112792,1.2728099822998,1.11845004558563,1.41102004051208,8.35735034942626,49.8145904541016,47.2382316589355,47.690559387207,48.0519485473633,14.707223792311385,68.45493928271408,-1.53783629385106,49.93739765825667,50.06260233788507,-0.30109879769715064,90.51069441065471,89.17508288565551,91.67197354642663,14.798726462636616,11.023893883104648,11.875731357717179,Andorra,Andorra,Principality of Andorra,AD,Euro,,Europe & Central Asia,High income: nonOECD,AD,1990,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,Special trade system,,,2011. Population figures compiled from administrative registers.,,,Yes,,,2006.0,,
ARB,10,12,6,6,6,3,91.57847608542606,91.0015584870993,90.64312773647136,91.36324030889223,64.59122607165838,64.58306374915934,64.59721248595439,103.81149995809868,102.89151675250669,0.9835203584588204,104.70263465612844,85.66901484672574,86.2187479446248,0.9962886930917492,85.1688177146371,79.47431572679562,105.60839909852056,104.59051233458585,106.59378014230829,44.42445399388586,40.942821814768344,35.34195091345359,89.7890802237595,39.4605526844809,15.810277161235305,19.902555208406636,7.658839126518498,8.675603592693005,3.9476042938388196,3.587786999118789,4.283119774355864,8.188877907428626,48.96900963953304,48.441879048250115,48.61814057156556,49.114014751792205,29.55434975826481,62.4392794473723,1.4925215629865027,49.93739698679004,50.06260301306039,1.708197618807425,91.8458839523237,91.94952947080138,91.75884880905149,10.433992505105039,7.892524239045807,8.716271697005578,Arab World,Arab World,Arab World,1A,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,1A,,,,,,,,,,,,,,,,,,,,,,
ARE,6,11,6,5,7,3,95.9560775756835,92.3886108398438,95.7956466674805,89.3567428588867,83.6726303100585,84.279899597168,83.1006393432617,116.345840454102,115.981430053711,0.99387001991272,116.697067260742,78.3657543437178,76.27810810877355,1.0242774683591804,81.87538825418841,62.50517141212466,101.376762390137,101.211616516113,101.533950805664,90.5,11.996501809503,7.8,93.375,79.3887405395508,77.1184997558594,63.30251332244541,5.22582006454468,5.78871011734009,0.171000003814697,0.1526899933815,0.188449993729591,5.51330995559692,48.8567886352539,48.9254302978516,45.785148894511835,48.806183989250485,13.7865344621578,85.1916071809735,0.915608331412884,26.8680443935346,73.1319556064654,0.45048966977882543,109.191352844238,108.318252563477,110.038986206055,10.3000001907349,3.09999990463257,4.0,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",Middle East & North Africa,High income: nonOECD,AE,2007,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,,,,2012,,2011.0,2005,
ARG,14,12,6,6,6,3,94.17399316261108,91.0403183767881,90.65432458650596,91.39595416001885,64.60100888157706,64.57553571016788,64.65113898207306,103.80073934223368,102.95427573357802,0.9851092987484203,104.6348645909281,84.73106828946437,84.14322060692035,0.9976299572275671,85.26362001850799,77.5021345536738,105.61950899027947,104.61208184665117,106.60521342233687,68.04306411,40.9028220990745,11.6,92.27458410134176,41.30341909886705,13.650346930202744,16.90693945415669,7.604498961955245,8.67369966434587,3.9550782873811126,3.5671100326524083,4.313472153528366,8.168794269592052,48.72032701186279,48.50916872877532,49.108943323656334,50.10529060382974,25.1959376536309,63.8777606355371,1.00985496040526,51.0679223370416,48.9320776629584,0.4,91.44206712015011,91.26441176476867,91.58495503496918,8.39999961853027,6.30000019073486,7.19999980926514,Argentina,Argentina,Argentine Republic,AR,Argentine peso,,Latin America & Caribbean,Upper middle income,AR,2004,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1971–84,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011/12","Integrated household survey (IHS), 2012",Yes,2013,2002.0,2012.0,2000,
ARM,12,10,6,4,8,3,96.423713684082,87.568962097168,87.4321823120117,87.6879425048828,52.3951606750488,53.1832084655762,51.6709213256836,98.4666213989258,98.4845581054688,1.0003399848938,98.4507904052734,88.5023574829102,88.992301940918,1.01056003570557,88.0627822875977,89.9269638061523,98.6643981933594,97.2166290283203,99.9657897949219,59.10237771,46.7178628616137,14.0,96.0742492675781,2.87411999702454,2.02837991714478,2.3067901134491,2.58917999267578,2.28873991966248,0.3680399954319,0.448500007390976,0.296999990940094,2.42963004112244,48.6106605529785,46.8920593261719,47.5535888671875,48.1786918640137,19.8445636709577,69.2461989406743,0.368528212088839,53.0071598636249,46.9928401363751,0.2,99.0716400146484,100.236747741699,98.0621795654297,19.2000007629395,17.3999996185303,18.2999992370605,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,,Europe & Central Asia,Lower middle income,AM,Original chained constant price data are rescaled.,1996.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012",Yes,2013/14,,2012.0,2007,
ASM,10,12,6,6,6,3,93.67502777096347,91.0417374290071,90.6786348102953,91.3958263314534,64.60673920896359,64.57885247658992,64.6524168096211,103.79425641486709,102.97329705715929,0.9818953004219709,104.60570709463623,84.48356803539446,83.78415060963243,0.9972662832688821,85.23135271692172,77.63708185400002,105.6364330207868,104.60016581862128,106.64742604156727,64.48866567904989,41.87804668509597,12.122885900670724,92.22001704317356,40.82804303210636,15.194350307021068,17.23545496634029,7.657836142731406,8.695018593500961,3.9520676126268803,3.577757073678246,4.296156874272754,8.211219744773901,48.47737629635142,48.23741046923891,48.56020290321029,50.01096451062809,20.02572937387325,68.0154407625337,0.180222443215116,49.93739701636148,50.06260298336199,0.6293618114011181,91.68726492349012,91.66285079566532,91.69109389297587,9.931233093352532,8.514100452079184,8.944571162349181,American Samoa,American Samoa,American Samoa,AS,U.S. dollar,,East Asia & Pacific,Upper middle income,AS,,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,Special trade system,,,2010,,,Yes,2007,,,,
